id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at,status_verified_at
a6fc181c-4820-4b43-91a6-3ec9a2be5be6,candle.singles,available,12.99,,high,low,6,name.com,,,
178f4c9c-3827-43dd-b11d-a5f456e2e0c0,vehicle.singles,available,9.49,33.99,high,low,7,namesilo,,,24/09/2026 15:34
918f331b-c1ba-4d32-a028-66782d1500a3,funds.singles,available,12.99,,high,low,5,name.com,,,
229662fe-8014-4e3f-9433-3af35281a54d,stopping.singles,available,12.99,,high,low,8,name.com,,,
b0a9fd76-fb53-4995-9df8-ac4178669e5a,journalism.singles,available,12.99,,high,low,10,name.com,,,
8e935a44-84af-4e2e-88a7-4922caef99f2,appointed.singles,available,3.98,36.98,high,low,9,namecheap,,,06/08/2026 07:21
3813101c-a2ee-4a0e-b9a9-93f0569e3d61,anaglyphic.singles,available,3.98,36.98,medium,low,10,namecheap,,,
94e3d87c-fc71-4a20-af8c-b28fde639d5e,regardless.singles,available,12.99,,high,low,10,name.com,,,
ac7457bc-565c-4c1a-9eb0-106a7f7a597f,ageless.singles,available,3.98,36.98,high,low,7,namecheap,,,
c7c1a60f-c77c-40e4-ad5d-2ed7bb4db0a2,proven.singles,available,12.99,,high,low,6,name.com,,,
2496e302-30d0-4905-81f7-9222af69c153,timeworn.singles,available,3.98,36.98,medium,low,8,namecheap,,,08/08/2026 11:14
faa78459-62c4-4c31-b6be-3603b2ff637b,toast.singles,available,12.99,,high,low,5,name.com,,,
d58bb772-fce5-4bcd-9667-8e20661cf67f,antipodal.singles,available,3.98,36.98,medium,low,9,namecheap,,,
76a237fc-5d0a-4d94-875c-690cdf0047ed,continuously.singles,available,12.99,,medium,low,12,name.com,,,
6912232d-c33b-4ad8-9ddd-402d4e4c7604,surfaces.singles,available,12.99,,medium,low,8,name.com,,,
2050bd5d-cd6a-46b6-80a5-51ba3f17b3f9,race.singles,available,12.99,,high,low,4,name.com,,,
772593cc-0704-4fe4-85a7-09bd7aa6f5a6,oslo.singles,available,12.99,,high,low,4,name.com,,,
3c78c9c3-5a8e-4f14-ab57-77c4ca82488e,fridge.singles,available,12.99,,high,low,6,name.com,,,
4b009c5d-29c4-425c-bbae-0c2811d183af,vibrate.singles,available,12.99,,high,low,7,name.com,,,
